"state","city","pop","aland_sqmi","density","n","pred","times"
"TN","Pigeon Forge",6266,13.345,469.55188071,11,3.22847759416252,3.40717867142375
"DE","Lewes",3322,4.192,800.20350608,9,2.6420221219512,3.40648169643382
"SC","Columbia",131674,136.778,968.19235841,51,15.0443719353254,3.38997202536902
"NY","Northport",7273,2.303,3149.1597926,11,3.24645472768631,3.38831153448411
"CA","Temecula",114761,37.267,3079.3790086,65,19.1849757261354,3.38806787810794
"FL","Clermont",38654,17.995,2427.2186095,35,10.3307072806,3.38795776991245
"MO","Lanagan",405,0.94,430.77439957,4,1.18092151694143,3.38718529776639
"NY","Williamsville",5220,1.258,4149.5300412,8,2.36254456448393,3.38617951181273
"MI","Grass Lake",1145,0.94,1218.6871544,5,1.48172104648257,3.37445432922035
"PA","Franklin",6013,0.597,1285.6414025,4,1.1860323882759,3.37258918014429
"FL","Panama City",34667,35.101,989.9973752,27,8.00989656956991,3.37083004324608
"NC","Pittsboro",4368,4.833,901.06658502,10,2.97136588698459,3.36545561211521
"AZ","Prescott Valley",46515,40.465,1137.4569036,32,9.52336209411262,3.36015786061338
"IL","Manteno",9002,5.344,1690.2636097,14,4.17606820377023,3.35243566840229
"CA","Monterey",28178,8.645,3262.1834962,26,7.75631036302607,3.35210928690278
"NY","Sag Harbor",2283,1.804,1265.4621162,7,2.08828013816985,3.35204069226783
"OR","Prineville",10734,12.83,836.64417229,15,4.47854807042943,3.34929976503785
"WA","Chehalis",7654,5.807,1318.0051928,13,3.88234873858196,3.3484884731783
"FL","Dade City",7338,6.176,1238.1182588,13,3.88830987180935,3.34335493532841
"OR","North Plains",2203,1.086,2001.1593511,6,1.79509272958319,3.34244571387304
"MI","Clinton",2290,1.834,1248.4394739,7,2.09712003698615,3.33791098103281
"AZ","Prescott",44299,44.969,985.73212293,30,8.98839234079291,3.337638018297
"FL","Delray Beach",69451,15.909,4365.1017409,46,13.8158393571669,3.32951178794199
"OH","Port Clinton",6176,2.131,2900.2210169,10,3.00403797058477,3.32885273019815
"IA","Cedar Rapids",133562,72.103,1864.8431303,64,19.2291307851065,3.32828356701229
"PA","Waynesburg",3965,0.805,4955.8634791,6,1.80284301578796,3.32807679174308
"OR","Scotts Mills",393,0.361,1089.3401599,3,0.902624767012418,3.32364024303216
"WA","Centralia",17745,7.621,2342.5656724,20,6.02128016570681,3.32155280099847
"FL","Orange Park",8824,3.638,2425.2468418,13,3.91391979407462,3.32147838585784
"OR","Bend",100421,33.622,3033.7070055,59,17.7653936898369,3.32106346924088
"CA","Palm Desert",53275,26.812,1987.0740413,38,11.4455377486888,3.32007117833788
"OK","Poteau",8863,26.607,293.95599897,10,3.01199772288561,3.32005563085871
"OH","Jackson",6230,9.052,756.47077372,12,3.61875004692114,3.31606213316935
"NC","Franklinton",2241,1.737,1399.6046079,7,2.11219297276365,3.31409113194852
"WA","Langley",1140,1.008,1130.9640358,5,1.50932987701292,3.3127284340885
"PA","Finleyville",393,0.167,2349.5723443,2,0.603986990227955,3.31132960205842
"WA","Gold Bar",2352,1.059,2220.1094578,6,1.81284382558643,3.30971698461619
"MO","Salem",4919,3.175,1549.4997233,10,3.02287019791077,3.30811425740722
"MI","Onaway",828,1.629,508.30782854,5,1.51161859208045,3.3077126903543
"AR","Chester",157,0.51,308.10482114,3,0.907146452937921,3.30707350536849
"PA","Irwin",3744,0.837,4474.2843237,6,1.81556090329544,3.30476382759143
"PA","West Grove",2839,0.651,4361.6121895,5,1.51840898355546,3.29292045433777
"FL","Sebring",10600,10.124,1046.9802751,15,4.5575037224689,3.2912754247569
"WA","Sumner",10427,7.532,1384.425114,15,4.55826952238515,3.29072248280552
"VA","Hillsville",2661,9.738,273.26019949,7,2.12905900447496,3.28783748373674
"OK","Tulsa",401190,197.533,2031.5689284,122,37.1240329107349,3.28628089230904
"GA","Dearing",532,0.815,652.7465794,4,1.21795696487793,3.2841882885418
"MN","Grand Marais",1357,2.909,466.50723365,6,1.82735328975901,3.28343732633731
"NY","Baldwinsville",7822,3.19,2512.819512,12,3.66466323267133,3.27451643933259
"KY","Ekron",150,0.162,923.29640923,2,0.611736890797805,3.26937941799075
"SC","Moncks Corner",11986,10.744,1392.4829688,18,5.51394314572875,3.26445150489868
"ND","Fort Yates",202,0.06,3349.0866818,1,0.306406944526375,3.26363360186153
"GA","Ringgold",3630,5.018,738.15881452,9,2.75996885383573,3.2609063640309
"OR","Brownsville",1823,1.358,1361.7476465,6,1.84096774688863,3.25915541439573
"WA","Yelm",9456,5.711,1660.0083484,14,4.295821230985,3.25898105326648
"SC","Pelzer",1401,0.914,1532.9328628,5,1.53430831424188,3.25879743568396
"OH","Lisbon",2640,1.684,1567.6843854,7,2.15020023632975,3.25551075742998
"PA","Royersford",4755,0.787,6043.409552,6,1.8433421319022,3.25495733871629
"AZ","Surprise",141664,110.302,1310.933056,58,17.8384211411827,3.25140882934411
"GA","Hogansville",3128,7.317,427.51942755,8,2.46078766734308,3.25099158540469
"MO","Columbia",123195,66.536,1878.843202,60,18.4834548345635,3.24614637993985
"VA","New Castle",153,0.165,927.56579037,2,0.616933386802025,3.2418410849303
"NY","Phoenix",2241,1.171,1914.476721,6,1.85457960929322,3.2352345350581
"VA","Fairfax",24019,6.24,3848.9120106,22,6.80547519096499,3.23269123502315
"MO","Warsaw",2204,2.493,884.24770253,7,2.16912827495427,3.22710283242588
"ID","Plummer",1029,1.262,815.59621479,5,1.55024729008184,3.22529188213322
"NC","Marshall",908,3.983,241.23574592,5,1.55176134966292,3.22214495230606
"MT","Helena",33124,16.821,1969.2250552,28,8.69104680928212,3.22170627019242
"PA","Palmyra",7587,1.923,3945.8865799,10,3.10714087501431,3.21839285769557
"CA","El Cajon",102708,14.51,7077.3728999,56,17.4057646967385,3.21732489067219
"IL","Vienna",1440,2.837,507.63977445,6,1.86890729305117,3.21043211844094
"IL","Plainfield",44308,24.722,1826.2016307,33,10.3064740239423,3.20187097190947
"MD","North East",3642,2.041,1800.4040469,8,2.49871868615224,3.20164092273994
"FL","Indian Rocks Beach",4285,0.845,5072.5631437,6,1.87474159652663,3.20044106938062
"AZ","Peoria",175961,176.082,999.83828034,56,17.4998396347052,3.20002932420833
"PA","Media",5682,0.763,7483.8509262,6,1.87575504897597,3.19871190178886
"GA","Flowery Branch",8325,7.12,1171.8809075,13,4.06612433135205,3.19714768674505
"PA","Dayton",510,0.376,1355.2258156,3,0.938596717864284,3.19626091046462
"CA","Ojai",7470,4.356,1717.9629073,12,3.75464775824601,3.19603882245556
"OR","Cannon Beach",1768,1.571,1125.679513,6,1.87977612511167,3.19186945713738
"CA","Del Mar",4319,1.717,2509.2459385,8,2.50749868898592,3.19043038193386
"CA","Capitola",10010,1.594,6283.1792488,10,3.13748336169738,3.18726789823995
"IA","Ainsworth",579,0.369,1575.3655311,3,0.941299434687479,3.18708360958065
"MI","Traverse City",15738,8.276,1890.1287411,18,5.64822703557931,3.18684073544041
"CA","Ukiah",15995,4.784,3343.2787664,17,5.34119104667858,3.18281069735775
"AL","Orange Beach",6235,14.713,423.76585687,10,3.14423457432477,3.1804242856618
"LA","Denham Springs",9753,7.293,1337.3858968,14,4.40302274573959,3.17963381259989
"NC","Four Oaks",2254,2.386,984.7422909,7,2.20750202900648,3.17100501291519
"GA","Leesburg",3055,4.912,618.94722358,8,2.52391823230453,3.16967479279049
"AZ","Camp Verde",11187,42.346,259.46016921,10,3.15546989359442,3.16910011415413
"PA","Morrisville",8521,1.54,4876.3888872,9,2.84230934931754,3.16643929069894
"IL","Lenzburg",487,1.155,421.72624463,4,1.26506177824892,3.1619009196031
"DE","Millsboro",4533,5.11,776.23095716,9,2.84710505407321,3.16110569475621
"PA","Spring Grove",2178,0.783,2781.5784767,5,1.58216528757834,3.16022607704471
"NC","Asheville",92870,45.471,2037.8649676,50,15.8406603953115,3.15643405970619
"KY","Morehead",7562,9.476,797.98808764,12,3.80224671894268,3.15602876063154
"MT","Red Lodge",2303,2.712,849.04536475,7,2.22164747165961,3.15081491969151
"SD","Mission",1257,0.587,2141.5433671,4,1.26982000882015,3.15005274150357
"NC","Sunset Beach",4037,6.968,596.89053018,9,2.86159612654425,3.14509791109784
"ME","Bangor",32262,34.259,941.6985478,24,7.63255335701832,3.14442610190618
"CO","Englewood",34917,6.564,5327.6475194,26,8.27372777131991,3.14247709359335
"CA","Marysville",12476,3.464,3601.8275705,14,4.45874922429299,3.13989401416043
"NY","Rochester",205695,35.766,5751.0585306,93,29.6401754997196,3.13763324380046
"PA","Conneaut Lake",619,0.375,1706.2825111,3,0.956213171428848,3.13737573340175
"WA","Woodland",6495,4.112,1579.3318482,11,3.50693775507928,3.13663964638897
"CO","Denver",727211,153.075,4743.9552682,224,71.427795963315,3.13603404639624
